Name,TotalForce,COP X,COP Y,Velocity X,Velocity Y,time stamp
Chengyi,-4.78546,772.5446,402.6375,-602.5299,117.3279,2020/10/22 16:04:31
Chengyi,-4.720412,766.5607,417.6057,-299.1943,748.4131,2020/10/22 16:04:31
Chengyi,-4.863471,765.8134,402.264,-37.36572,-767.0868,2020/10/22 16:04:31
Chengyi,-4.783464,765.3253,411.7036,-24.40186,471.9803,2020/10/22 16:04:31
Chengyi,-4.843371,755.348,402.2448,-498.8678,-472.9385,2020/10/22 16:04:31
Chengyi,-4.766982,774.7313,406.8875,969.1681,232.135,2020/10/22 16:04:31
Chengyi,-4.755777,781.0438,410.9594,315.625,203.595,2020/10/22 16:04:31
Chengyi,-4.63253,794.6402,414.0763,679.8187,155.8411,2020/10/22 16:04:31
Chengyi,-4.767454,778.0073,412.1383,-831.6437,-96.89941,2020/10/22 16:04:31
Chengyi,-4.835473,775.9592,401.5135,-102.4048,-531.2408,2020/10/22 16:04:31
Chengyi,-4.89136,749.0272,391.8949,-1346.603,-480.9265,2020/10/22 16:04:31
Chengyi,-4.719416,761.339,414.1084,615.5914,1110.674,2020/10/22 16:04:31
Chengyi,-4.856574,777.4766,402.3592,806.8817,-587.4619,2020/10/22 16:04:31
Chengyi,-4.69856,768.4387,413.2898,-451.8951,546.5302,2020/10/22 16:04:31
Chengyi,-4.822142,750.5408,398.8034,-894.8975,-724.3195,2020/10/22 16:04:31
Chengyi,-4.805704,778.5358,400.0762,1399.75,63.63983,2020/10/22 16:04:32
Chengyi,-4.704443,769.3906,407.8663,-457.2571,389.505,2020/10/22 16:04:32
Chengyi,-4.852033,765.5289,399.4152,-193.0847,-422.5525,2020/10/22 16:04:32
Chengyi,-4.901168,754.2307,396.7151,-564.9109,-135.0052,2020/10/22 16:04:32
Chengyi,-4.796348,769.0424,408.3489,740.5823,581.691,2020/10/22 16:04:32
Chengyi,-4.822546,781.9986,393.5245,647.8119,-741.2201,2020/10/22 16:04:32
Chengyi,-4.822734,762.436,402.2592,-978.1281,436.734,2020/10/22 16:04:32
Chengyi,-4.782206,755.4865,406.5998,-347.4792,217.0288,2020/10/22 16:04:32
Chengyi,-4.738115,781.1122,401.7256,1281.287,-243.7103,2020/10/22 16:04:32
Chengyi,-4.806491,744.1901,407.8866,-1846.103,308.049,2020/10/22 16:04:32
Chengyi,-4.595088,788.6902,423.8326,2225.003,797.2992,2020/10/22 16:04:32
Chengyi,-4.928936,774.2927,388.081,-719.8761,-1787.578,2020/10/22 16:04:32
Chengyi,-4.744118,776.3122,408.0734,100.9766,999.6185,2020/10/22 16:04:32
Chengyi,-4.86137,774.4564,393.8473,-92.7887,-711.3052,2020/10/22 16:04:32
Chengyi,-4.833811,773.3571,405.1893,-54.96521,567.1021,2020/10/22 16:04:32
Chengyi,-4.922598,759.0162,397.3684,-717.0441,-391.0461,2020/10/22 16:04:32
Chengyi,-4.728634,753.5555,407.5478,-273.0377,508.9722,2020/10/22 16:04:32
Chengyi,-4.651545,780.6191,416.9111,1353.183,468.1656,2020/10/22 16:04:32
Chengyi,-4.893476,776.3514,401.0392,-213.385,-793.5959,2020/10/22 16:04:32
Chengyi,-4.9102,767.0759,384.3852,-463.7787,-832.7026,2020/10/22 16:04:32
Chengyi,-4.748218,760.7974,410.2314,-313.9252,1292.313,2020/10/22 16:04:32
Chengyi,-4.81411,770.6933,399.9144,494.7968,-515.8493,2020/10/22 16:04:32
Chengyi,-4.765712,781.6058,405.2793,545.6268,268.2419,2020/10/22 16:04:32
Chengyi,-4.740217,776.4681,406.896,-256.8878,80.83649,2020/10/22 16:04:32
Chengyi,-4.758217,778.957,408.0291,124.4476,56.65283,2020/10/22 16:04:32
Chengyi,-4.853519,773.7922,396.6141,-258.2428,-570.7489,2020/10/22 16:04:32
Chengyi,-4.785169,773.8967,407.0854,5.227661,523.5657,2020/10/22 16:04:32
Chengyi,-4.843594,764.9448,394.3876,-447.5952,-634.8892,2020/10/22 16:04:32
Chengyi,-4.941491,771.8721,387.458,346.3654,-346.4783,2020/10/22 16:04:33
