Name,TotalForce,COP X,COP Y,Velocity X,Velocity Y,time stamp
Pal,-4.761187,378.0904,403.1711,1.515198,350.9598,2020/10/22 15:54:11
Pal,-4.795682,369.3342,403.9615,-437.8098,39.52026,2020/10/22 15:54:11
Pal,-4.722849,376.7655,415.2502,371.5652,564.4302,2020/10/22 15:54:11
Pal,-4.864802,389.3878,390.7596,631.1172,-1224.527,2020/10/22 15:54:11
Pal,-4.674054,382.0698,414.7045,-365.9027,1197.246,2020/10/22 15:54:11
Pal,-4.711371,380.9141,415.033,-57.78656,16.42303,2020/10/22 15:54:11
Pal,-4.700084,373.7554,416.5133,-357.9315,74.01428,2020/10/22 15:54:11
Pal,-4.692516,387.0481,410.3372,664.6317,-308.8043,2020/10/22 15:54:11
Pal,-4.856266,371.3034,396.2408,-787.2314,-704.8172,2020/10/22 15:54:11
Pal,-4.856266,371.3034,396.2408,0,0,2020/10/22 15:54:11
Pal,-4.964224,376.3914,387.1751,254.4006,-453.2883,2020/10/22 15:54:11
Pal,-4.75738,375.2366,411.5659,-57.74384,1219.54,2020/10/22 15:54:11
Pal,-4.536152,377.0264,434.8835,89.4928,1165.881,2020/10/22 15:54:11
Pal,-4.847454,383.7241,396.3623,334.8831,-1926.061,2020/10/22 15:54:11
Pal,-4.709178,383.9573,416.258,11.66077,994.7845,2020/10/22 15:54:11
Pal,-4.855209,378.2107,402.3853,-287.3306,-693.6325,2020/10/22 15:54:12
Pal,-4.914526,370.4893,393.2841,-386.0718,-455.0629,2020/10/22 15:54:12
Pal,-4.731046,380.9449,410.651,522.7829,868.3456,2020/10/22 15:54:12
Pal,-4.720321,376.9497,404.91,-199.762,-287.0514,2020/10/22 15:54:12
Pal,-4.609842,369.5662,425.2548,-369.1727,1017.239,2020/10/22 15:54:12
Pal,-4.816162,377.3203,396.0623,387.706,-1459.621,2020/10/22 15:54:12
Pal,-4.796873,373.9817,402.9094,-166.9342,342.3508,2020/10/22 15:54:12
Pal,-4.845679,369.0364,398.4113,-247.2641,-224.9054,2020/10/22 15:54:12
Pal,-4.787559,366.9789,401.4927,-102.8763,154.0741,2020/10/22 15:54:12
Pal,-4.877343,374.5995,400.4471,381.0303,-52.28424,2020/10/22 15:54:12
Pal,-4.779284,370.1375,411.3649,-223.0957,545.8923,2020/10/22 15:54:12
Pal,-4.681193,379.9605,420.9747,491.1499,480.4901,2020/10/22 15:54:12
Pal,-4.670943,378.7829,418.6772,-58.88367,-114.8743,2020/10/22 15:54:12
Pal,-4.712003,384.6783,408.7024,294.7723,-498.7411,2020/10/22 15:54:12
Pal,-4.565004,378.8303,430.7268,-292.4011,1101.219,2020/10/22 15:54:12
Pal,-4.76005,372.9328,406.8609,-294.873,-1193.294,2020/10/22 15:54:12
Pal,-4.738425,377.2712,408.6974,216.9189,91.82281,2020/10/22 15:54:12
Pal,-4.652092,373.579,419.4355,-184.6115,536.9064,2020/10/22 15:54:12
Pal,-4.872299,376.2635,397.5224,134.2255,-1095.656,2020/10/22 15:54:12
Pal,-4.662219,376.4435,411.7897,9.002686,713.3682,2020/10/22 15:54:12
Pal,-4.789154,372.3296,408.3454,-205.6976,-172.2153,2020/10/22 15:54:12
Pal,-4.866488,375.7554,402.6494,171.2906,-284.8038,2020/10/22 15:54:12
Pal,-4.713697,375.3292,412.991,-21.31195,517.0807,2020/10/22 15:54:12
Pal,-4.710018,378.5213,407.218,159.6069,-288.649,2020/10/22 15:54:12
Pal,-4.672353,380.5363,415.8704,100.7523,432.6202,2020/10/22 15:54:12
Pal,-4.711522,367.8773,403.4792,-632.9529,-619.5618,2020/10/22 15:54:12
Pal,-4.805959,367.8752,407.8957,-0.1052856,220.8267,2020/10/22 15:54:12
Pal,-4.864434,372.4417,398.6844,228.3234,-460.5667,2020/10/22 15:54:12
Pal,-4.818174,374.3646,401.0229,96.14716,116.9281,2020/10/22 15:54:12
Pal,-4.593248,383.8286,414.8325,473.201,690.4785,2020/10/22 15:54:12
Pal,-4.47025,391.8043,428.4155,398.7854,679.1504,2020/10/22 15:54:12
Pal,-4.7809,373.3611,408.5073,-922.1588,-995.4102,2020/10/22 15:54:12
Pal,-4.7809,373.3611,408.5073,0,0,2020/10/22 15:54:12
Pal,-4.722157,376.776,409.2188,170.7413,35.57587,2020/10/22 15:54:12
Pal,-4.875369,372.3409,399.789,-221.7514,-471.489,2020/10/22 15:54:12
Pal,-4.661275,365.5555,418.2194,-339.27,921.5164,2020/10/22 15:54:12
Pal,-4.878355,378.3161,396.0326,638.0264,-1109.337,2020/10/22 15:54:12
Pal,-4.612066,375.835,421.3246,-124.0524,1264.598,2020/10/22 15:54:13
Pal,-4.673775,389.1708,416.5152,666.7892,-240.4709,2020/10/22 15:54:13
Pal,-4.814857,376.2133,399.6653,-647.8775,-842.4927,2020/10/22 15:54:13
Pal,-4.939519,377.1805,390.9433,48.35968,-436.1008,2020/10/22 15:54:13
Pal,-4.810722,376.2353,412.6198,-47.258,1083.826,2020/10/22 15:54:13
Pal,-4.683022,379.7714,421.5134,176.8051,444.6777,2020/10/22 15:54:13
Pal,-4.742313,379.7573,414.5059,-0.7064819,-350.3738,2020/10/22 15:54:13
Pal,-4.77898,377.6797,411.3155,-103.8757,-159.5184,2020/10/22 15:54:13
Pal,-4.837526,365.786,402.084,-594.6884,-461.5768,2020/10/22 15:54:13
Pal,-4.702437,377.3247,417.199,576.9348,755.751,2020/10/22 15:54:13
Pal,-4.687613,374.2907,414.5346,-151.6998,-133.2184,2020/10/22 15:54:13
Pal,-4.840519,373.7639,401.7258,-26.3382,-640.4419,2020/10/22 15:54:13
Pal,-4.839804,376.3706,401.8858,130.3329,7.998657,2020/10/22 15:54:13
Pal,-4.727399,365.5684,404.8886,-540.1108,150.1419,2020/10/22 15:54:13
Pal,-4.768477,373.2412,407.4474,383.6426,127.9404,2020/10/22 15:54:13
Pal,-3.616953,357.9185,570.0416,-766.1331,8129.708,2020/10/22 15:54:13
Pal,-0.3516374,-794.0793,7668.581,-57599.89,354927,2020/10/22 15:54:13
Pal,12.31011,547.5417,-370.3348,67081.05,-401945.8,2020/10/22 15:54:13
Pal,14.69636,553.1802,-326.8888,281.9214,2172.299,2020/10/22 15:54:13
Pal,47.21791,553.9349,-160.184,37.73499,8335.242,2020/10/22 15:54:13
Pal,58.7557,553.2401,-141.1946,-34.73816,949.469,2020/10/22 15:54:13
Pal,59.09198,557.9101,-116.6512,233.4991,1227.167,2020/10/22 15:54:13
Pal,55.11595,560.1068,-99.00258,109.8328,882.4333,2020/10/22 15:54:13
Pal,53.87777,561.7993,-92.26729,84.62524,336.7645,2020/10/22 15:54:13
Pal,52.632,562.5669,-83.58037,38.38196,434.346,2020/10/22 15:54:13
Pal,51.80526,563.3749,-75.64461,40.40222,396.788,2020/10/22 15:54:13
Pal,52.39521,563.7834,-70.174,20.42542,273.5306,2020/10/22 15:54:14
Pal,53.56162,563.5909,-68.83484,-9.625244,66.95786,2020/10/22 15:54:14
Pal,56.37656,564.7184,-68.58389,56.37512,12.5473,2020/10/22 15:54:14
Pal,57.56009,573.1931,-75.41305,423.7305,-341.4578,2020/10/22 15:54:14
Pal,58.95718,576.0679,-79.21676,143.7408,-190.1855,2020/10/22 15:54:14
Pal,63.31849,578.6837,-87.2563,130.7922,-401.9772,2020/10/22 15:54:14
Pal,61.33461,582.1348,-92.54975,172.5525,-264.6725,2020/10/22 15:54:14
Pal,59.75354,584.5584,-95.58633,121.1823,-151.8291,2020/10/22 15:54:14
Pal,60.80647,583.0526,-96.42209,-75.28992,-41.78772,2020/10/22 15:54:14
Pal,60.14068,577.7969,-94.40063,-262.7869,101.0731,2020/10/22 15:54:14
Pal,58.77904,574.3807,-94.63818,-170.8069,-11.87782,2020/10/22 15:54:14
Pal,60.16566,572.2828,-93.58676,-104.895,52.57111,2020/10/22 15:54:14
Pal,61.4502,570.0163,-93.34885,-113.327,11.89575,2020/10/22 15:54:14
Pal,61.20137,570.9454,-95.0411,46.45386,-84.61266,2020/10/22 15:54:14
Pal,61.56212,572.0216,-97.54223,53.81165,-125.0565,2020/10/22 15:54:14
Pal,61.14682,572.7874,-99.35616,38.28735,-90.69633,2020/10/22 15:54:14
Pal,60.34061,573.6219,-101.3517,41.72668,-99.7757,2020/10/22 15:54:14
Pal,59.75877,576.3116,-104.1005,134.4849,-137.4401,2020/10/22 15:54:14
Pal,59.01855,577.8503,-106.8197,76.93481,-135.9631,2020/10/22 15:54:14
Pal,58.37825,577.6969,-109.6246,-7.669067,-140.242,2020/10/22 15:54:14
Pal,57.72997,577.6783,-111.8344,-0.9277344,-110.4931,2020/10/22 15:54:14
Pal,60.43443,567.9644,-111.1793,-485.6964,32.75566,2020/10/22 15:54:14
Pal,61.18217,563.2985,-110.6152,-233.2977,28.20549,2020/10/22 15:54:14
Pal,60.44944,553.21,-111.0715,-504.422,-22.81685,2020/10/22 15:54:14
Pal,59.13557,541.966,-113.8279,-562.2009,-137.8189,2020/10/22 15:54:14
Pal,59.52744,535.8833,-114.0148,-304.1351,-9.345627,2020/10/22 15:54:14
Pal,60.28574,529.504,-114.8833,-318.9667,-43.42461,2020/10/22 15:54:14
Pal,59.80431,505.5359,-118.5047,-1198.406,-181.0707,2020/10/22 15:54:14
Pal,57.89897,493.6076,-121.9275,-596.4127,-171.1361,2020/10/22 15:54:14
Pal,58.13422,462.4021,-124.8028,-1560.277,-143.7668,2020/10/22 15:54:14
Pal,60.16385,440.3234,-122.7736,-1103.932,101.4584,2020/10/22 15:54:14
Pal,61.02293,431.1844,-122.0953,-456.9489,33.91647,2020/10/22 15:54:14
Pal,62.67976,414.506,-122.0335,-833.9233,3.092575,2020/10/22 15:54:15
Pal,62.78057,403.4315,-122.1589,-553.7231,-6.269836,2020/10/22 15:54:15
Pal,64.2149,405.9032,-121.6478,123.5825,25.55428,2020/10/22 15:54:15
Pal,64.29695,405.8383,-124.0963,-3.242493,-122.427,2020/10/22 15:54:15
Pal,61.8041,405.224,-129.6933,-30.71442,-279.8481,2020/10/22 15:54:15
Pal,61.8041,405.224,-129.6933,0,0,2020/10/22 15:54:15
Pal,56.84569,404.3678,-137.8709,-42.81006,-408.8814,2020/10/22 15:54:15
Pal,54.99972,405.5692,-141.7906,60.06927,-195.9831,2020/10/22 15:54:15
Pal,55.74816,404.1429,-141.8035,-71.315,-0.6446838,2020/10/22 15:54:15
Pal,58.65982,404.9849,-139.282,42.10052,126.0742,2020/10/22 15:54:15
Pal,61.34583,407.2373,-134.5404,112.619,237.0789,2020/10/22 15:54:15
Pal,63.83035,414.5246,-129.7147,364.3661,241.2827,2020/10/22 15:54:15
Pal,63.42245,420.8267,-126.4976,315.1031,160.857,2020/10/22 15:54:15
Pal,62.33632,424.3822,-126.3143,177.7756,9.166336,2020/10/22 15:54:15
Pal,61.03115,430.4756,-125.3026,304.6707,50.58403,2020/10/22 15:54:15
Pal,60.91906,434.0049,-124.3557,176.4633,47.3423,2020/10/22 15:54:15
Pal,60.9521,444.9062,-125.9266,545.0638,-78.545,2020/10/22 15:54:15
