name,x,y,z,w,time stamp
Patient,-2.16185,0.4724901,-1.486655,-0.6840674,2020/9/2 11:09:17
Patient,-2.133698E+38,-0.002960205,0,1.391378E+32,2020/9/2 11:09:17
Patient,-2.133698E+38,-0.002960205,0,1.391378E+32,2020/9/2 11:09:17
Patient,-2.210983,0.4435621,-1.496309,-0.6193584,2020/9/2 11:09:17
Patient,0,0,0,0,2020/9/2 11:09:17
Patient,-2.201156,0.4435621,-1.544577,-0.6748233,2020/9/2 11:09:17
Patient,0,0,0,0,2020/9/2 11:09:17
Patient,0,0,0,0,2020/9/2 11:09:17
Patient,-2.201156,0.501418,-1.496309,-0.7210441,2020/9/2 11:09:17
Patient,0,0.1988565,0,0,2020/9/2 11:09:17
Patient,-2.230636,0.4628474,-1.467348,-0.6101142,2020/9/2 11:09:17
Patient,2.354146E-38,2.81036E+18,7.76414E-34,2.356733E-38,2020/9/2 11:09:17
Patient,2.354146E-38,2.81036E+18,7.76414E-34,2.356733E-38,2020/9/2 11:09:17
Patient,-2.201156,0.4435621,-1.515616,-0.656335,2020/9/2 11:09:17
Patient,1.298023E-41,9.570869E-43,1.300825E-41,9.654946E-43,2020/9/2 11:09:17
Patient,-2.181503,0.4435621,-1.505963,-0.6378466,2020/9/2 11:09:17
Patient,3.946617E-41,5.418821E-42,3.947738E-41,5.418821E-42,2020/9/2 11:09:17
Patient,3.946617E-41,5.418821E-42,3.947738E-41,5.418821E-42,2020/9/2 11:09:17
Patient,-2.220809,0.4724901,-1.496309,-0.6378466,2020/9/2 11:09:17
Patient,0,0,0,0,2020/9/2 11:09:17
Patient,-2.220809,0.4917754,-1.52527,-0.5916259,2020/9/2 11:09:17
Patient,0,0,0,0,2020/9/2 11:09:17
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,-2.191329,0.4628474,-1.52527,-0.6378466,2020/9/2 11:09:18
Patient,1.777127E-41,1.743215E-42,1.778808E-41,1.743215E-42,2020/9/2 11:09:18
Patient,-2.299422,0.4532048,-1.486655,-0.5916259,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,-2.191329,0.4821327,-1.457695,-0.6193584,2020/9/2 11:09:18
Patient,2.778635E-41,3.578916E-42,2.782278E-41,3.585923E-42,2020/9/2 11:09:18
Patient,-2.210983,0.4724901,-1.438387,-0.6655791,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,-2.230636,0.4724901,-1.467348,-0.6008701,2020/9/2 11:09:18
Patient,2.075603E-41,2.328958E-42,2.076024E-41,2.335965E-42,2020/9/2 11:09:18
Patient,-2.230636,0.4724901,-1.467348,-0.6008701,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,-2.13237,0.4532048,-1.52527,-0.6008701,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,-2.13237,0.4532048,-1.52527,-0.6008701,2020/9/2 11:09:18
Patient,7.051334E-42,2.129974E-43,7.082162E-42,2.143987E-43,2020/9/2 11:09:18
Patient,7.051334E-42,2.129974E-43,7.082162E-42,2.143987E-43,2020/9/2 11:09:18
Patient,-2.152023,0.4628474,-1.563884,-0.6193584,2020/9/2 11:09:18
Patient,3.576534E-41,4.837282E-42,3.577235E-41,4.837282E-42,2020/9/2 11:09:18
Patient,-2.152023,0.4628474,-1.563884,-0.6193584,2020/9/2 11:09:18
Patient,3.124195E-41,4.283769E-42,3.125036E-41,4.289375E-42,2020/9/2 11:09:18
Patient,3.124195E-41,4.283769E-42,3.125036E-41,4.289375E-42,2020/9/2 11:09:18
Patient,-2.13237,0.3857062,-1.515616,-0.6286025,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,-2.13237,0.3857062,-1.515616,-0.6286025,2020/9/2 11:09:18
Patient,2.422705E-41,2.896484E-42,2.422705E-41,2.896484E-42,2020/9/2 11:09:18
Patient,2.422705E-41,2.896484E-42,2.422705E-41,2.896484E-42,2020/9/2 11:09:18
Patient,-2.142197,0.3953488,-1.496309,-0.656335,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,-2.171676,0.4821327,-1.505963,-0.6840674,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,-2.181503,0.4435621,-1.457695,-0.6748233,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,-2.152023,0.4435621,-1.505963,-0.6286025,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,-2.093064,0.501418,-1.477002,-0.5823817,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,-2.093064,0.501418,-1.477002,-0.5823817,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,-2.16185,0.4628474,-1.457695,-0.5638934,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,-2.201156,0.4532048,-1.496309,-0.6470909,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,-2.142197,0.4435621,-1.52527,-0.6286025,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,-2.171676,0.4049915,-1.428734,-0.5731376,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,-2.260116,0.4532048,-1.477002,-0.6655791,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,-2.260116,0.4532048,-1.477002,-0.6655791,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,-2.152023,0.4339195,-1.486655,-0.6193584,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,-2.152023,0.4339195,-1.486655,-0.6193584,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,-2.201156,0.4821327,-1.554231,-0.6193584,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,-2.201156,0.4821327,-1.554231,-0.6193584,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,-2.181503,0.4242768,-1.534923,-0.6101142,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,-2.181503,0.4724901,-1.52527,-0.6378466,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,-2.191329,0.4724901,-1.477002,-0.6748233,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,-2.201156,0.4724901,-1.41908,-0.6101142,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
Patient,-2.16185,0.5110607,-1.477002,-0.6101142,2020/9/2 11:09:18
Patient,0,0,0,0,2020/9/2 11:09:18
